Eff,,Obj_A: % load met,Obj_B: Worst deficit (GW),Obj_C: Cost(£/MWh),Obj_D: CO2 (kg/MWh),GW_nuclear,GW_PV,GW_onshore_wind,GW_offshore_wind,GW_BECCS,GW_OCGT,GW_H2,h_H2,CV
0.18,69,77.66245221,-40.37218189,139.6544324,-70.22020179,5,31.68247514,20,26.04192989,2.5,0.129392038,45.73920122,121.6749952,[0.]
0.18,70,97.04347432,-33.36980501,161.5562409,-49.8242865,5,32.42901662,20,70.29290256,2.5,3.722737924,47.61441213,184.6558519,[0.]
0.18,71,89.36380725,-38.05474232,153.9701771,-61.81141228,5,30.5606035,20,52.47107775,2.5,0.110733667,47.57503661,206.3965385,[0.]
0.18,72,92.14682507,-37.69679136,153.5400535,-59.70039765,5,38.66877858,20,56.74454362,2.5,0.210382318,45.73920122,187.2922328,[0.]
0.18,73,97.88436124,-32.98712095,165.7788318,-52.88304382,5,31.55409961,20,77.29557573,2.5,2.869835246,48.15660196,178.7749325,[0.]
0.18,74,98.83818743,-22.77060919,137.3393904,-4.599884069,5,57.1996697,20,43.00210252,2.5,16.19402981,28.41391482,105.0640828,[0.]
0.18,75,77.46009958,-40.71884723,135.1932282,-68.42555282,5,49.16679186,20,20.46599068,2.5,0.288019654,47.57204059,19.23106561,[0.]
0.18,76,99.87387192,-14.99281554,147.4515346,-30.43644829,5,71.47494447,20,59.87727424,2.5,22.72140952,24.37594275,179.6557029,[0.]
0.18,77,93.42264787,-36.8005058,157.7378101,-57.21084097,5,29.33958838,20,63.13560964,2.5,0.723243075,48.14416843,176.3931554,[0.]
0.18,78,99.32728708,-22.90620252,149.5109333,-34.79641808,5,66.77932786,20,62.62113623,2.5,14.64350005,31.21397985,75.75087441,[0.]
0.18,79,100,0,120.2050311,78.63875352,5,34.74670767,20,19.79155796,2.5,45.55354755,0.721269562,20.55363822,[0.]
0.18,80,94.73988273,-36.57030797,187.8219666,-56.93343262,5,22.61429769,20,67.38119309,2.5,0.698802588,48.14416843,907.3333413,[0.]
0.18,81,99.98570939,-6.916253093,136.3994721,-0.238708294,5,87.7515112,20,39.41677451,2.5,32.3732892,18.24437352,105.9939415,[0.]
0.18,82,100,0,127.3087754,28.61986159,5,50.3371476,20,35.88838828,2.5,44.47170938,6.355538451,23.86221172,[0.]
0.18,83,97.35526528,-34.19924439,165.7145767,-56.20729311,5,29.68829763,20,77.58532769,2.5,0.712876347,47.14126227,208.4729794,[0.]
0.18,84,81.59567768,-40.22653782,146.4311661,-60.72524452,5,74.81263332,20,20.5135295,2.5,0.776021084,47.13936121,239.4449643,[0.]
0.18,85,78.33224723,-40.32544157,141.7266245,-70.66373005,5,31.8388629,20,27.48370668,2.5,0.0454782,45.73920122,160.0957209,[0.]
0.18,86,99.70424313,-21.49945536,155.680933,-41.78468387,5,53.08640444,20,71.63923833,2.5,15.50928716,31.31104559,194.8344202,[0.]
0.18,87,99.9188072,-16.59118809,162.7438315,-48.73434809,5,65.05837234,20,81.79807871,2.5,18.8577502,26.26571269,205.6007631,[0.]
0.18,88,99.98442532,-7.103846796,138.9633203,-2.225321854,5,84.82118384,20,39.41677451,2.5,32.18569549,23.98881655,112.7726999,[0.]
0.18,89,99.99369612,-5.64432462,148.7149285,-29.47167568,5,66.49191136,20,62.14439104,2.5,31.93411138,21.5576814,211.7964702,[0.]
